JaHo,Jake Hooker,1,"5,263157895",1,1,1
AlLe,Alice and the Glass Lake,1,"5,263157895",1,1,3
MaAt,Maki Athanasiou,1,"5,263157895",1,1,1
ReSp,Regina Spektor,1,"5,263157895",1,1,1
Aali,Aalias,1,"5,263157895",1,1,1
Freq,Frequency,1,"5,263157895",1,1,1
MyWi,Myles William,1,"5,263157895",1,1,1
AlKe,Alicia Keys,1,"5,263157895",1,1,3
JuBl,Just Blaze,1,"5,263157895",1,1,1
GeSa,Geoffrey Sarubbi,1,"5,263157895",1,1,1
CaFi,Canei Finch,1,"5,263157895",1,1,1
MiJe,Mick Jenkins,1,"5,263157895",1,1,1
OnCu,OnCue,1,"5,263157895",1,1,1
PaRo,Paul Rosenberg,1,"5,263157895",1,1,1
AldK,Alex da Kid,3,"15,78947368",1,3,1
SamH,Sam Harris,1,"5,263157895",1,1,1
KeHe,Ken Hensley,1,"5,263157895",1,1,1
DaBy,David Byron,1,"5,263157895",1,1,1
FrWr,FredWreck,1,"5,263157895",1,1,1
ToSt,Tom Sturges,1,"5,263157895",1,1,1
AnAr,Antonina Armato,1,"5,263157895",1,1,1
TiJa,Tim James,1,"5,263157895",1,1,1
LaSm,Larry Smith,1,"5,263157895",1,1,1
D.M.C., D.M.C.,1,"5,263157895",1,1,1
AdRo,Ad-Rock,1,"5,263157895",1,1,1
ReRu,Rev Run,1,"5,263157895",1,1,1
Rick,Rick Rubin,1,"5,263157895",1,1,1
IDaP,IllaDaProducer,1,"5,263157895",1,1,1
LeMi,Leon Michels,1,"5,263157895",1,1,1
DaGu,Dave Guy,1,"5,263157895",1,1,1
ThBr,Thomas Brenneck,1,"5,263157895",1,1,1
MStB,Menahan Street Band,1,"5,263157895",1,1,1
ChBr,Charles Bradley,1,"5,263157895",1,1,1
JoIn,Jon Ingoldsby,1,"5,263157895",1,1,1
ScJo,Scram Jones,1,"5,263157895",1,1,1
DORi,Dolores O’Riordan,1,"5,263157895",1,1,1
LiRo,Liz Rodrigues,1,"5,263157895",1,1,1
ErAl,Erik Alcock,1,"5,263157895",1,1,1
ChIn,Chin Injeti,1,"5,263157895",1,1,1
DJKh,DJ Khalil,1,"5,263157895",1,1,1
Bawh,Barry White,1,"5,263157895",1,1,1
AMcB,Amanda McBroom,1,"5,263157895",1,1,1
Künstler*in,Bruno Mars,,,,,
Album,24K Magic,,,,,
Tracks,9,,,,,
id,Name,Summe Songs,percentage,weight,participation,relation
BrMa,Bruno Mars,9,100,7,7,2
PhLa,Philip Lawrence,9,100,7,7,1
BrBr,Brody Brown,9,100,7,7,1
JaFa,James Fauntleroy,7,"77,77777778",5,5,1
TLJr,Trevor Lawrence Jr.,1,"11,11111111",1,1,1
HoSt,Homer Steinweiss,1,"11,11111111",1,1,1
RaCh,Ra Charm,2,"22,22222222",3,1,1
RaRo,Ray Romulus,2,"22,22222222",3,1,1
JeRv,Jeremy Reeves,2,"22,22222222",3,1,1
JoYi,Jonathan Yip,2,"22,22222222",3,1,1
Marc,Gay,1,"11,11111111",1,1,1
CAGM,Carl “Groove” Martin,1,"11,11111111",1,1,1
TPai,T-Pain,1,"11,11111111",1,1,1
JeBh,Jeff Bhasker,2,"22,22222222",3,1,1
EmHa,Emile Haynie,1,"11,11111111",1,1,1
Baby,Babyface,1,"11,11111111",1,1,1
